@relation 'trainwseap-weka.filters.unsupervised.attribute.Remove-R4-5,8,10,15'

@attribute polarity {P,NONE,N,NEU,P+,N+}
@attribute confidence numeric
@attribute joy numeric
@attribute isIronic {False,True}
@attribute sadness numeric
@attribute isSubjective {True,False}
@attribute isAgreement {True,False}
@attribute anger numeric
@attribute surprise numeric
@attribute fear numeric
@attribute class {Bot,Human}

@data
NONE,100,0.192946,False,0.164956,False,True,0.142407,0.282531,0.21716,Bot
NONE,100,0.155701,False,0.149269,True,True,0.12606,0.405535,0.163435,Bot
P,100,0.089372,False,0.471135,True,True,0.12108,0.016105,0.302309,Bot
P+,100,0.755467,False,0.091631,True,True,0.02909,0.054057,0.069754,Bot
NONE,100,0.095374,False,0.309575,False,True,0.103002,0.377522,0.114527,Bot
N,100,0.048572,False,0.45801,False,True,0.292454,0.156331,0.044633,Bot
P,97,0.047477,False,0.296719,False,True,0.505931,0.100015,0.049859,Bot
P,92,0.278826,False,0.347084,True,True,0.06999,0.20871,0.09539,Bot
P,100,0.334316,False,0.153782,True,True,0.041777,0.411706,0.058419,Bot
P+,100,0.155172,False,0.23999,True,True,0.179311,0.058764,0.366764,Bot
NONE,100,0.326516,False,0.077748,False,True,0.027678,0.014708,0.55335,Bot
NONE,100,0.279546,False,0.35999,False,True,0.172248,0.077244,0.110972,Bot
P,100,0.2658,False,0.111016,True,True,0.099362,0.372321,0.151501,Bot
P,100,0.182301,False,0.154217,True,True,0.170082,0.298054,0.195347,Bot
P,100,0.209312,False,0.144006,True,True,0.171302,0.322785,0.152595,Bot
P,100,0.089241,False,0.63145,True,True,0.066728,0.175134,0.037448,Bot
N+,89,0.294887,False,0.16011,True,True,0.109227,0.077799,0.357977,Bot
N,92,0.046189,False,0.180203,False,True,0.222796,0.104107,0.446705,Bot
N,100,0.124882,False,0.239906,False,True,0.091422,0.006979,0.53681,Bot
P,100,0.293651,False,0.245209,False,True,0.207053,0.100399,0.153687,Bot
NONE,100,0.092606,False,0.14025,False,True,0.278409,0.072988,0.415748,Bot
N,92,0.065584,False,0.349017,False,True,0.396459,0.034053,0.154887,Bot
P+,100,0.08295,False,0.353518,True,True,0.379084,0.024366,0.160082,Bot
P,100,0.209312,False,0.144006,True,True,0.171302,0.322785,0.152595,Bot
NEU,94,0.101856,False,0.627727,True,False,0.133241,0.050839,0.086338,Bot
P+,100,0.107597,False,0.526207,False,True,0.044551,0.244356,0.077289,Bot
P,100,0.095702,False,0.480575,True,True,0.246844,0.105393,0.071485,Bot
NONE,100,0.089107,False,0.242135,False,True,0.473437,0.034943,0.160378,Bot
P+,100,0.415989,False,0.079043,True,True,0.021622,0.454603,0.028743,Bot
P+,90,0.196703,True,0.272708,True,True,0.086384,0.015399,0.428806,Bot
NONE,100,0.812111,False,0.009715,False,True,0.00705,0.126582,0.044543,Bot
P,100,0.117277,False,0.207972,True,True,0.254292,0.130738,0.289721,Bot
P+,100,0.157289,False,0.159085,True,True,0.072573,0.528456,0.082596,Bot
N+,100,0.011412,False,0.828734,True,True,0.065976,0.001193,0.092686,Bot
N,100,0.100238,False,0.096229,False,True,0.102575,0.013238,0.68772,Bot
NEU,91,0.058325,False,0.149156,False,False,0.538973,0.148012,0.105533,Bot
NONE,100,0.192946,False,0.164956,False,True,0.142407,0.282531,0.21716,Bot
N,100,0.046969,False,0.412924,False,True,0.474149,0.008563,0.057395,Bot
P+,100,0.809497,False,0.007825,True,True,0.003216,0.159722,0.019741,Bot
P+,100,0.384194,False,0.33025,True,True,0.08883,0.131377,0.065348,Bot
P+,100,0.500225,False,0.021792,True,True,0.002095,0.46704,0.008848,Bot
NONE,100,0.226167,False,0.112487,False,True,0.132663,0.341542,0.187142,Bot
NONE,100,0.221111,False,0.376536,False,True,0.112215,0.15059,0.139549,Bot
P,100,0.141407,False,0.114239,True,True,0.277505,0.071072,0.395777,Bot
NONE,100,0.058777,False,0.187505,True,True,0.466067,0.00929,0.27836,Bot
NONE,100,0.448874,False,0.212841,True,True,0.029647,0.208344,0.100295,Bot
P,100,0.102388,False,0.048368,False,True,0.054214,0.025721,0.769309,Bot
NONE,100,0.061683,False,0.49283,False,True,0.164948,0.163025,0.117514,Bot
N,100,0.007834,False,0.815117,True,True,0.116586,0.004658,0.055805,Bot
NEU,94,0.033557,False,0.113977,False,False,0.246235,0.034475,0.571757,Bot
NONE,100,0.267767,False,0.291251,False,True,0.220067,0.066294,0.15462,Bot
N+,100,0.034659,False,0.222767,True,True,0.683029,0.028246,0.031298,Bot
NONE,100,0.11294,False,0.172798,False,True,0.161633,0.30617,0.246459,Bot
N+,92,0.051996,False,0.704137,True,True,0.183608,0.032796,0.027464,Bot
N,92,0.178667,False,0.268457,False,True,0.178222,0.222832,0.151821,Bot
P,92,0.310307,False,0.101107,True,True,0.038644,0.044003,0.505939,Bot
N,94,0.125299,False,0.326716,False,False,0.348056,0.120763,0.079166,Bot
NONE,100,0.180885,False,0.159341,False,True,0.150135,0.278866,0.230772,Bot
NONE,100,0.222206,False,0.208442,False,True,0.134761,0.290218,0.144373,Bot
N,100,0.219602,False,0.380174,True,True,0.124144,0.076107,0.199973,Bot
P,100,0.05445,False,0.483068,True,True,0.218482,0.0696,0.1744,Bot
P,100,0.437805,False,0.332223,True,True,0.051652,0.09333,0.08499,Bot
P,100,0.209312,False,0.144006,True,True,0.171302,0.322785,0.152595,Bot
NONE,100,0.105885,False,0.261768,False,True,0.370632,0.155366,0.10635,Bot
NONE,100,0.145519,False,0.465272,False,True,0.107614,0.040026,0.241569,Bot
NONE,100,0.02731,False,0.235225,False,True,0.231775,0.08795,0.41774,Bot
P,100,0.23771,False,0.238068,False,True,0.18353,0.052935,0.287757,Bot
NONE,100,0.34083,False,0.246412,False,True,0.160237,0.083653,0.168868,Bot
NONE,100,0.716404,False,0.122272,True,True,0.019371,0.080724,0.061228,Bot
NONE,100,0.023905,False,0.515926,False,True,0.286782,0.011143,0.162244,Bot
N+,100,0.038973,False,0.495543,False,True,0.219353,0.028746,0.217385,Bot
P,92,0.042054,False,0.420173,False,True,0.410859,0.031382,0.095533,Bot
P+,100,0.157174,False,0.260137,True,True,0.159182,0.062652,0.360854,Bot
NONE,100,0.378495,False,0.092257,False,True,0.12739,0.289481,0.112377,Bot
NONE,100,0.037728,False,0.351012,True,True,0.284512,0.096368,0.230379,Bot
NONE,100,0.022574,False,0.424042,False,True,0.331614,0.003282,0.218488,Bot
N+,100,0.032823,False,0.525886,False,True,0.301726,0.040856,0.09871,Bot
NONE,100,0.070828,False,0.460507,False,True,0.302609,0.020175,0.145881,Bot
N+,100,0.002997,False,0.068138,True,True,0.907511,0.000988,0.020366,Bot
P+,100,0.685473,False,0.09181,True,True,0.021829,0.125424,0.075464,Bot
NONE,100,0.086406,False,0.140529,False,True,0.026028,0.034444,0.712593,Bot
NONE,100,0.201453,False,0.150095,False,True,0.148592,0.280323,0.219536,Bot
NONE,100,0.143978,False,0.204898,False,True,0.1889,0.136052,0.326172,Bot
N,100,0.014799,False,0.468001,False,True,0.363299,0.006035,0.147866,Bot
NONE,100,0.02973,False,0.046427,False,True,0.038424,0.01454,0.870879,Bot
NEU,94,0.12563,False,0.401668,False,False,0.075253,0.222938,0.174512,Bot
P,100,0.182301,False,0.154217,True,True,0.170082,0.298054,0.195347,Bot
NONE,100,0.329606,False,0.092673,False,True,0.074907,0.324683,0.17813,Bot
N,100,0.068088,False,0.122535,True,True,0.300698,0.053313,0.455365,Bot
NONE,100,0.092611,False,0.400333,False,True,0.188247,0.010474,0.308334,Bot
P,100,0.051398,False,0.333009,True,True,0.193048,0.018616,0.40393,Bot
P,100,0.243816,False,0.288948,False,True,0.203555,0.064625,0.199055,Bot
NONE,100,0.011407,False,0.712387,True,True,0.09411,0.006534,0.175563,Bot
N,100,0.023829,False,0.489597,False,True,0.354848,0.036867,0.094859,Bot
N+,100,0.00879,False,0.270497,True,True,0.611857,0.015732,0.093125,Bot
N,86,0.21475,False,0.397874,True,False,0.095985,0.182037,0.109354,Bot
P,100,0.188211,False,0.155995,True,True,0.116073,0.362454,0.177267,Bot
P+,100,0.22546,False,0.271513,True,True,0.10317,0.054319,0.345539,Bot
N+,100,0.089532,False,0.530663,False,True,0.298115,0.020024,0.061665,Bot
NONE,100,0.112161,False,0.376528,False,True,0.24361,0.115234,0.152467,Bot
NEU,94,0.103255,False,0.278912,True,False,0.100013,0.425162,0.092659,Bot
P,100,0.101766,False,0.295682,True,True,0.179257,0.313803,0.109492,Bot
N,100,0.044602,False,0.414486,True,True,0.351793,0.012889,0.176231,Bot
N,100,0.134933,False,0.578658,True,True,0.190584,0.022703,0.073122,Bot
NONE,100,0.085753,False,0.43979,False,True,0.252413,0.019191,0.202854,Bot
NONE,100,0.15868,False,0.226845,False,True,0.080074,0.158738,0.375663,Bot
P,100,0.062524,False,0.294017,True,True,0.03563,0.596441,0.011387,Bot
P+,100,0.241296,False,0.215947,False,True,0.190697,0.206155,0.145906,Bot
P,100,0.123559,False,0.291972,False,True,0.225771,0.055803,0.302895,Bot
NONE,100,0.100887,False,0.185071,False,True,0.237273,0.063043,0.413725,Bot
P,100,0.209689,False,0.12553,True,True,0.118606,0.37933,0.166845,Bot
N,94,0.623593,False,0.087501,True,False,0.110882,0.07638,0.101643,Bot
P,97,0.134328,False,0.163975,False,True,0.112021,0.30752,0.282156,Bot
NONE,100,0.024172,False,0.123495,False,True,0.056938,0.200651,0.594744,Bot
P,100,0.182745,False,0.347888,False,True,0.213334,0.178844,0.077189,Bot
P,100,0.213282,False,0.31976,False,True,0.273698,0.019843,0.173417,Bot
P,100,0.127472,False,0.18019,True,True,0.171698,0.372752,0.147888,Bot
NEU,84,0.029903,True,0.24931,True,False,0.080686,0.003822,0.636279,Bot
NONE,100,0.226234,False,0.15096,False,True,0.100017,0.355236,0.167554,Bot
P,100,0.320032,False,0.395425,False,True,0.132348,0.060048,0.092147,Bot
P,92,0.066954,False,0.203148,False,True,0.304919,0.13075,0.294228,Bot
NONE,100,0.112161,False,0.376528,False,True,0.24361,0.115234,0.152467,Bot
P,100,0.08781,False,0.235701,True,True,0.240082,0.017587,0.41882,Bot
N,92,0.135466,False,0.469535,True,True,0.198138,0.03479,0.162071,Bot
NONE,100,0.198085,False,0.176774,True,True,0.158335,0.243171,0.223635,Bot
NONE,100,0.098937,False,0.272231,False,True,0.082377,0.316441,0.230014,Bot
P+,92,0.06329,False,0.336956,True,True,0.340194,0.119807,0.139753,Bot
NEU,86,0.012789,False,0.180585,True,False,0.752971,0.013105,0.04055,Bot
N+,92,0.030723,False,0.167281,True,True,0.691366,0.017531,0.093098,Bot
P,100,0.11357,False,0.4928,True,True,0.122701,0.099786,0.171143,Bot
P+,100,0.360924,False,0.22898,False,True,0.134934,0.192811,0.082352,Bot
NONE,100,0.05108,False,0.179679,False,True,0.174906,0.080952,0.513383,Bot
NONE,100,0.20228,False,0.136187,False,True,0.123539,0.343078,0.194916,Bot
P,92,0.210118,False,0.387801,True,True,0.244019,0.035916,0.122146,Bot
NONE,100,0.145119,False,0.191777,False,True,0.051293,0.176726,0.435085,Bot
NONE,100,0.038074,False,0.130795,False,True,0.067087,0.046968,0.717077,Bot
NONE,100,0.030794,False,0.144618,False,True,0.769785,0.027218,0.027586,Bot
NONE,100,0.214697,False,0.141542,False,True,0.125297,0.332317,0.186146,Bot
NONE,100,0.071147,False,0.319046,False,True,0.291059,0.013076,0.305673,Bot
NONE,100,0.165451,False,0.167842,False,True,0.164018,0.237863,0.264826,Bot
NONE,100,0.101342,False,0.291249,False,True,0.19404,0.275836,0.137534,Bot
P,100,0.205717,False,0.132706,True,True,0.12413,0.384364,0.153084,Bot
N,100,0.138799,False,0.231969,True,True,0.498329,0.029146,0.101757,Bot
NONE,100,0.136016,False,0.444132,False,True,0.269609,0.06599,0.084254,Bot
NONE,100,0.02075,False,0.445256,True,True,0.034023,0.427808,0.072163,Bot
NONE,100,0.068567,False,0.260716,False,True,0.074996,0.516142,0.079579,Bot
P,100,0.306038,False,0.283577,False,True,0.155693,0.111067,0.143625,Bot
NONE,100,0.584103,False,0.245542,False,True,0.040893,0.050446,0.079016,Bot
NEU,94,0.095068,False,0.265986,True,False,0.046098,0.03969,0.553159,Bot
P+,100,0.482183,False,0.113914,True,True,0.099597,0.172924,0.131382,Bot
NONE,100,0.34595,False,0.20587,False,True,0.254297,0.143309,0.050573,Bot
NONE,100,0.178546,False,0.1648,False,True,0.140166,0.237179,0.279309,Bot
NONE,100,0.226167,False,0.112487,False,True,0.132663,0.341542,0.187142,Bot
P+,98,0.484808,False,0.106885,True,True,0.062516,0.214803,0.130988,Bot
P,82,0.02662,True,0.481525,True,True,0.331659,0.104847,0.05535,Bot
P,92,0.015727,False,0.68479,False,True,0.182797,0.094076,0.02261,Bot
N,90,0.138376,False,0.384979,True,True,0.113613,0.277829,0.085203,Bot
P+,92,0.464531,False,0.262678,False,True,0.088854,0.074608,0.109329,Bot
NONE,100,0.318996,False,0.338744,False,True,0.113178,0.124726,0.104356,Bot
P,100,0.576251,False,0.228898,True,True,0.060223,0.049719,0.084909,Bot
P,100,0.055048,False,0.289214,False,True,0.578168,0.047247,0.030323,Bot
NONE,100,0.182421,False,0.250963,False,True,0.2046,0.057664,0.304352,Bot
NONE,100,0.04141,False,0.580743,False,True,0.105444,0.031485,0.240917,Bot
NONE,100,0.048363,False,0.32468,False,True,0.299113,0.189521,0.138324,Bot
P,100,0.586579,False,0.032344,True,True,0.016525,0.337675,0.026877,Bot
NEU,94,0.141517,False,0.037334,True,False,0.030789,0.501145,0.289214,Bot
NONE,100,0.128287,False,0.224465,True,True,0.253454,0.189041,0.204753,Bot
NONE,100,0.180521,False,0.140309,False,True,0.131099,0.353909,0.194162,Bot
P,100,0.2658,False,0.111016,True,True,0.099362,0.372321,0.151501,Bot
P+,100,0.619379,False,0.143764,True,True,0.056063,0.083913,0.096881,Bot
P+,100,0.222184,False,0.200747,True,True,0.173328,0.298134,0.105608,Bot
P+,100,0.251265,False,0.05405,True,True,0.039773,0.608977,0.045935,Bot
N,92,0.065584,False,0.349017,False,True,0.396459,0.034053,0.154887,Bot
P,86,0.107561,False,0.226337,False,False,0.348897,0.041368,0.275837,Bot
N,86,0.021634,False,0.629495,True,False,0.110268,0.208914,0.02969,Bot
NONE,100,0.17413,False,0.273352,False,True,0.326822,0.159685,0.066011,Bot
P+,100,0.259414,False,0.04088,True,True,0.033008,0.620085,0.046613,Bot
NONE,100,0.206559,False,0.114216,False,True,0.118654,0.404431,0.15614,Bot
NONE,100,0.206658,False,0.163273,False,True,0.190997,0.210881,0.228191,Bot
P,100,0.289911,False,0.226667,False,True,0.321349,0.127398,0.034674,Bot
P+,100,0.186059,False,0.244904,False,True,0.14528,0.0592,0.364557,Bot
P,100,0.216156,False,0.276586,True,True,0.107442,0.30939,0.090426,Bot
NONE,100,0.071701,False,0.158182,False,True,0.141308,0.500863,0.127946,Bot
NONE,100,0.019168,False,0.146175,False,True,0.76334,0.021071,0.050246,Bot
NONE,100,0.044244,False,0.226907,True,True,0.068314,0.263358,0.397177,Bot
NEU,84,0.052062,True,0.551045,False,False,0.280156,0.032364,0.084372,Bot
P,92,0.00199,False,0.106084,True,True,0.689381,0.006566,0.195979,Bot
NONE,100,0.2221,False,0.150853,False,True,0.099587,0.359276,0.168183,Bot
P+,100,0.258953,False,0.241799,False,True,0.313394,0.102806,0.083048,Bot
NONE,100,0.059123,False,0.184788,False,True,0.533012,0.008639,0.214437,Bot
P,100,0.293651,False,0.245209,False,True,0.207053,0.100399,0.153687,Bot
P,100,0.188211,False,0.155995,True,True,0.116073,0.362454,0.177267,Bot
N,100,0.014258,False,0.669185,True,True,0.082557,0.0116,0.222401,Bot
NONE,100,0.027202,False,0.60884,False,True,0.181112,0.005289,0.177557,Bot
P,100,0.209689,False,0.12553,True,True,0.118606,0.37933,0.166845,Bot
NONE,100,0.155701,False,0.149269,True,True,0.12606,0.405535,0.163435,Bot
P+,100,0.306419,False,0.049344,True,True,0.045311,0.549459,0.049466,Bot
N,94,0.025565,False,0.474742,True,False,0.406595,0.032698,0.060399,Bot
P,100,0.450381,False,0.117314,False,True,0.025278,0.359577,0.047451,Bot
NEU,94,0.017527,False,0.293428,False,False,0.638604,0.016083,0.034359,Bot
NONE,100,0.060357,False,0.132172,False,True,0.164278,0.116106,0.527088,Bot
NONE,100,0.117922,False,0.420163,False,True,0.159227,0.045193,0.257496,Bot
N,100,0.182707,False,0.465276,False,True,0.130881,0.07538,0.145757,Bot
P+,100,0.164598,False,0.048151,True,True,0.037025,0.708495,0.04173,Bot
N,100,0.071144,False,0.673637,True,True,0.140217,0.05039,0.064612,Bot
NONE,100,0.05316,False,0.084834,False,True,0.68143,0.019254,0.161323,Bot
P,100,0.29521,False,0.100471,True,True,0.053008,0.502076,0.049234,Bot
NONE,100,0.424126,False,0.016269,False,True,0.009646,0.514639,0.03532,Bot
P,100,0.137099,False,0.526121,True,True,0.092097,0.06908,0.175602,Bot
NONE,100,0.145519,False,0.465272,False,True,0.107614,0.040026,0.241569,Bot
NONE,100,0.214697,False,0.141542,False,True,0.125297,0.332317,0.186146,Bot
P,100,0.078334,False,0.130612,True,True,0.054114,0.427979,0.308961,Bot
NONE,100,0.180521,False,0.140309,False,True,0.131099,0.353909,0.194162,Bot
NONE,100,0.217514,False,0.099495,True,True,0.107029,0.245347,0.330616,Bot
P+,100,0.165418,False,0.134518,True,True,0.551144,0.047698,0.101221,Bot
N,100,0.024182,False,0.247126,False,True,0.427753,0.011774,0.289165,Bot
NONE,100,0.112161,False,0.376528,False,True,0.24361,0.115234,0.152467,Bot
