@relation 'trainwsae-weka.filters.unsupervised.attribute.Remove-R1-3,5,8-9'

@attribute sadness numeric
@attribute class {Bot,Human}
@attribute fear numeric
@attribute anger numeric
@attribute surprise numeric
@attribute joy numeric

@data
0.272231,Bot,0.230014,0.082377,0.316441,0.098937
0.336956,Bot,0.139753,0.340194,0.119807,0.06329
0.180585,Bot,0.04055,0.752971,0.013105,0.012789
0.167281,Bot,0.093098,0.691366,0.017531,0.030723
0.4928,Bot,0.171143,0.122701,0.099786,0.11357
0.22898,Bot,0.082352,0.134934,0.192811,0.360924
0.179679,Bot,0.513383,0.174906,0.080952,0.05108
0.136187,Bot,0.194916,0.123539,0.343078,0.20228
0.387801,Bot,0.122146,0.244019,0.035916,0.210118
0.191777,Bot,0.435085,0.051293,0.176726,0.145119
0.130795,Bot,0.717077,0.067087,0.046968,0.038074
0.144618,Bot,0.027586,0.769785,0.027218,0.030794
0.141542,Bot,0.186146,0.125297,0.332317,0.214697
0.319046,Bot,0.305673,0.291059,0.013076,0.071147
0.167842,Bot,0.264826,0.164018,0.237863,0.165451
0.291249,Bot,0.137534,0.19404,0.275836,0.101342
0.132706,Bot,0.153084,0.12413,0.384364,0.205717
0.231969,Bot,0.101757,0.498329,0.029146,0.138799
0.444132,Bot,0.084254,0.269609,0.06599,0.136016
0.445256,Bot,0.072163,0.034023,0.427808,0.02075
0.260716,Bot,0.079579,0.074996,0.516142,0.068567
0.283577,Bot,0.143625,0.155693,0.111067,0.306038
0.245542,Bot,0.079016,0.040893,0.050446,0.584103
0.265986,Bot,0.553159,0.046098,0.03969,0.095068
0.113914,Bot,0.131382,0.099597,0.172924,0.482183
0.20587,Bot,0.050573,0.254297,0.143309,0.34595
0.1648,Bot,0.279309,0.140166,0.237179,0.178546
0.112487,Bot,0.187142,0.132663,0.341542,0.226167
0.106885,Bot,0.130988,0.062516,0.214803,0.484808
0.481525,Bot,0.05535,0.331659,0.104847,0.02662
0.68479,Bot,0.02261,0.182797,0.094076,0.015727
0.384979,Bot,0.085203,0.113613,0.277829,0.138376
0.262678,Bot,0.109329,0.088854,0.074608,0.464531
0.338744,Bot,0.104356,0.113178,0.124726,0.318996
0.228898,Bot,0.084909,0.060223,0.049719,0.576251
0.289214,Bot,0.030323,0.578168,0.047247,0.055048
0.250963,Bot,0.304352,0.2046,0.057664,0.182421
0.580743,Bot,0.240917,0.105444,0.031485,0.04141
0.32468,Bot,0.138324,0.299113,0.189521,0.048363
0.032344,Bot,0.026877,0.016525,0.337675,0.586579
0.037334,Bot,0.289214,0.030789,0.501145,0.141517
0.224465,Bot,0.204753,0.253454,0.189041,0.128287
0.140309,Bot,0.194162,0.131099,0.353909,0.180521
0.111016,Bot,0.151501,0.099362,0.372321,0.2658
0.143764,Bot,0.096881,0.056063,0.083913,0.619379
0.200747,Bot,0.105608,0.173328,0.298134,0.222184
0.05405,Bot,0.045935,0.039773,0.608977,0.251265
0.349017,Bot,0.154887,0.396459,0.034053,0.065584
0.226337,Bot,0.275837,0.348897,0.041368,0.107561
0.629495,Bot,0.02969,0.110268,0.208914,0.021634
0.273352,Bot,0.066011,0.326822,0.159685,0.17413
0.04088,Bot,0.046613,0.033008,0.620085,0.259414
0.114216,Bot,0.15614,0.118654,0.404431,0.206559
0.163273,Bot,0.228191,0.190997,0.210881,0.206658
0.226667,Bot,0.034674,0.321349,0.127398,0.289911
0.244904,Bot,0.364557,0.14528,0.0592,0.186059
0.276586,Bot,0.090426,0.107442,0.30939,0.216156
0.158182,Bot,0.127946,0.141308,0.500863,0.071701
0.146175,Bot,0.050246,0.76334,0.021071,0.019168
0.226907,Bot,0.397177,0.068314,0.263358,0.044244
0.551045,Bot,0.084372,0.280156,0.032364,0.052062
0.106084,Bot,0.195979,0.689381,0.006566,0.00199
0.150853,Bot,0.168183,0.099587,0.359276,0.2221
0.241799,Bot,0.083048,0.313394,0.102806,0.258953
0.184788,Bot,0.214437,0.533012,0.008639,0.059123
0.245209,Bot,0.153687,0.207053,0.100399,0.293651
0.155995,Bot,0.177267,0.116073,0.362454,0.188211
0.669185,Bot,0.222401,0.082557,0.0116,0.014258
0.60884,Bot,0.177557,0.181112,0.005289,0.027202
0.12553,Bot,0.166845,0.118606,0.37933,0.209689
0.149269,Bot,0.163435,0.12606,0.405535,0.155701
0.049344,Bot,0.049466,0.045311,0.549459,0.306419
0.474742,Bot,0.060399,0.406595,0.032698,0.025565
0.117314,Bot,0.047451,0.025278,0.359577,0.450381
0.293428,Bot,0.034359,0.638604,0.016083,0.017527
0.132172,Bot,0.527088,0.164278,0.116106,0.060357
0.420163,Bot,0.257496,0.159227,0.045193,0.117922
0.465276,Bot,0.145757,0.130881,0.07538,0.182707
0.048151,Bot,0.04173,0.037025,0.708495,0.164598
0.673637,Bot,0.064612,0.140217,0.05039,0.071144
0.084834,Bot,0.161323,0.68143,0.019254,0.05316
0.100471,Bot,0.049234,0.053008,0.502076,0.29521
0.016269,Bot,0.03532,0.009646,0.514639,0.424126
0.526121,Bot,0.175602,0.092097,0.06908,0.137099
0.465272,Bot,0.241569,0.107614,0.040026,0.145519
0.141542,Bot,0.186146,0.125297,0.332317,0.214697
0.130612,Bot,0.308961,0.054114,0.427979,0.078334
0.140309,Bot,0.194162,0.131099,0.353909,0.180521
0.099495,Bot,0.330616,0.107029,0.245347,0.217514
0.134518,Bot,0.101221,0.551144,0.047698,0.165418
0.247126,Bot,0.289165,0.427753,0.011774,0.024182
0.376528,Bot,0.152467,0.24361,0.115234,0.112161
0.175198,Bot,0.696562,0.086075,0.003416,0.038749
0.32154,Bot,0.083223,0.312518,0.161163,0.121555
0.164956,Bot,0.21716,0.142407,0.282531,0.192946
0.103349,Bot,0.033763,0.051091,0.392038,0.419759
0.113406,Bot,0.244339,0.187165,0.161061,0.294028
0.370421,Bot,0.396538,0.100949,0.017301,0.114791
0.01421,Bot,0.001811,0.982854,0.000487,0.000638
0.628907,Bot,0.085248,0.197954,0.041817,0.046074
0.157989,Bot,0.173769,0.138154,0.31829,0.211799
0.698932,Bot,0.082615,0.118954,0.068851,0.030648
0.214738,Bot,0.074733,0.120097,0.313351,0.277081
0.23698,Bot,0.17891,0.272554,0.284158,0.027399
0.388919,Bot,0.117789,0.316398,0.087924,0.08897
0.148251,Bot,0.068888,0.053815,0.619695,0.109351
0.270159,Bot,0.365756,0.207391,0.044725,0.11197
0.46299,Bot,0.227789,0.091476,0.03427,0.183476
0.049344,Bot,0.049466,0.045311,0.549459,0.306419
0.09786,Bot,0.088129,0.020486,0.336542,0.456983
0.155324,Bot,0.303927,0.125259,0.076381,0.339109
0.166883,Bot,0.22253,0.171516,0.203794,0.235276
0.111016,Bot,0.151501,0.099362,0.372321,0.2658
0.12553,Bot,0.166845,0.118606,0.37933,0.209689
0.223061,Bot,0.025641,0.720477,0.017606,0.013215
0.229704,Bot,0.380259,0.042126,0.066995,0.280917
0.615917,Bot,0.089642,0.173442,0.069613,0.051386
0.162359,Bot,0.034679,0.787835,0.007253,0.007874
0.27625,Bot,0.069355,0.517162,0.061743,0.07549
0.376528,Bot,0.152467,0.24361,0.115234,0.112161
0.29249,Bot,0.117837,0.338755,0.01524,0.235677
0.428117,Bot,0.107097,0.035552,0.147897,0.281338
0.409434,Bot,0.083671,0.057625,0.389401,0.059868
0.177482,Bot,0.377766,0.331353,0.046835,0.066564
0.781813,Bot,0.018891,0.07376,0.054416,0.07112
0.143327,Bot,0.098174,0.252412,0.409797,0.096291
0.308188,Bot,0.247861,0.15443,0.20334,0.086181
0.24309,Bot,0.118118,0.081503,0.332059,0.22523
0.067477,Bot,0.007933,0.922139,0.000737,0.001714
0.287305,Bot,0.477688,0.124828,0.060389,0.04979
0.129507,Bot,0.041136,0.819184,0.007331,0.002842
0.35193,Bot,0.454288,0.11421,0.020728,0.058844
0.569789,Bot,0.11088,0.180614,0.033239,0.105479
0.112487,Bot,0.187142,0.132663,0.341542,0.226167
0.144006,Bot,0.152595,0.171302,0.322785,0.209312
0.135436,Bot,0.266111,0.074449,0.151405,0.372599
0.525739,Bot,0.080962,0.177397,0.147362,0.06854
0.59754,Bot,0.040023,0.246699,0.091174,0.024564
0.177925,Bot,0.211632,0.209415,0.189769,0.211259
0.23266,Bot,0.175228,0.426713,0.04008,0.125319
0.34147,Bot,0.448691,0.133749,0.003302,0.072787
0.213464,Bot,0.172728,0.143469,0.283525,0.186813
0.299718,Bot,0.099615,0.511204,0.030328,0.059135
0.287338,Bot,0.149357,0.132855,0.359473,0.070978
0.144006,Bot,0.152595,0.171302,0.322785,0.209312
0.602362,Bot,0.052293,0.272811,0.02396,0.048574
0.0379,Bot,0.146432,0.011029,0.06877,0.735868
0.144727,Bot,0.070672,0.108222,0.028911,0.647469
0.24333,Bot,0.045813,0.222677,0.287804,0.200376
0.233751,Bot,0.309797,0.198586,0.025068,0.232799
0.300018,Bot,0.047964,0.156745,0.247873,0.247399
0.393181,Bot,0.222394,0.119912,0.053239,0.211274
0.145662,Bot,0.189663,0.13182,0.320531,0.212323
0.770687,Bot,0.08214,0.027677,0.072855,0.046641
0.303121,Bot,0.12677,0.073727,0.075457,0.420925
0.384887,Bot,0.117934,0.325067,0.062955,0.109157
0.155995,Bot,0.177267,0.116073,0.362454,0.188211
0.234295,Bot,0.17008,0.558041,0.007974,0.02961
0.103181,Bot,0.165717,0.133691,0.243425,0.353985
0.305667,Bot,0.091598,0.219722,0.144977,0.238036
0.684421,Bot,0.042058,0.197311,0.035401,0.040809
0.104669,Bot,0.155622,0.106831,0.164301,0.468577
0.243968,Bot,0.048225,0.051104,0.50559,0.151112
0.072323,Bot,0.014847,0.070804,0.770094,0.071933
0.235748,Bot,0.200987,0.206479,0.305807,0.050979
0.193266,Bot,0.221015,0.1888,0.211971,0.184947
0.451588,Bot,0.231667,0.047419,0.035791,0.233534
0.079745,Bot,0.246541,0.09925,0.06836,0.506104
0.228255,Bot,0.133205,0.202713,0.158177,0.27765
0.144529,Bot,0.101641,0.030876,0.567413,0.15554
0.666497,Bot,0.079412,0.123685,0.028783,0.101623
0.676576,Bot,0.085546,0.167633,0.049573,0.020672
0.393888,Bot,0.088693,0.392762,0.022465,0.102192
0.122967,Bot,0.131189,0.091618,0.443248,0.210979
0.106598,Bot,0.025498,0.826545,0.007187,0.034172
0.461574,Bot,0.048506,0.155192,0.212328,0.122399
0.12553,Bot,0.166845,0.118606,0.37933,0.209689
0.086587,Bot,0.138621,0.073446,0.378461,0.322885
0.255463,Bot,0.073485,0.623704,0.006596,0.040751
0.17978,Bot,0.456255,0.207382,0.090434,0.06615
0.163273,Bot,0.228191,0.190997,0.210881,0.206658
0.197652,Bot,0.283199,0.222858,0.13145,0.164841
0.111016,Bot,0.151501,0.099362,0.372321,0.2658
0.314391,Bot,0.036011,0.019866,0.605479,0.024253
0.873527,Bot,0.061751,0.05517,0.002259,0.007293
0.504548,Bot,0.209195,0.203037,0.006839,0.076381
0.112133,Bot,0.126332,0.062709,0.106263,0.592564
0.147057,Bot,0.488752,0.102519,0.216118,0.045555
0.020032,Bot,0.134366,0.014957,0.12998,0.700665
0.12553,Bot,0.166845,0.118606,0.37933,0.209689
0.356294,Bot,0.11943,0.115537,0.063713,0.345026
0.511006,Bot,0.215395,0.221345,0.004872,0.047382
0.141542,Bot,0.186146,0.125297,0.332317,0.214697
0.230644,Bot,0.035672,0.064907,0.062506,0.606271
0.27497,Bot,0.175045,0.110413,0.075083,0.364489
0.12533,Bot,0.160822,0.076775,0.297721,0.339351
0.315046,Bot,0.480644,0.090849,0.009612,0.103849
