@relation 'trainwseap-weka.filters.unsupervised.attribute.Remove-R1-2,4,6,9,11'

@attribute joy numeric
@attribute extraversion numeric
@attribute sadness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute anger numeric
@attribute surprise numeric
@attribute fear numeric
@attribute openness numeric
@attribute class {Bot,Human}

@data
0.061683,0.504745,0.49283,0.614664,0.463852,0.164948,0.163025,0.117514,0.522829,Bot
0.007834,0.496541,0.815117,0.625212,0.518407,0.116586,0.004658,0.055805,0.466104,Bot
0.033557,0.499976,0.113977,0.510054,0.500104,0.246235,0.034475,0.571757,0.499687,Bot
0.267767,0.649607,0.291251,0.689382,0.557194,0.220067,0.066294,0.15462,0.362267,Bot
0.034659,0.771083,0.222767,0.576228,0.358871,0.683029,0.028246,0.031298,0.528592,Bot
0.11294,0.544915,0.172798,0.525,0.486961,0.161633,0.30617,0.246459,0.503929,Bot
0.051996,0.600645,0.704137,0.641881,0.39629,0.183608,0.032796,0.027464,0.54696,Bot
0.178667,0.559612,0.268457,0.521506,0.45921,0.178222,0.222832,0.151821,0.502537,Bot
0.310307,0.499548,0.101107,0.474649,0.507377,0.038644,0.044003,0.505939,0.542118,Bot
0.125299,0.507197,0.326716,0.567768,0.501054,0.348056,0.120763,0.079166,0.515926,Bot
0.180885,0.469863,0.159341,0.48617,0.499774,0.150135,0.278866,0.230772,0.518879,Bot
0.222206,0.518608,0.208442,0.61155,0.439076,0.134761,0.290218,0.144373,0.572281,Bot
0.219602,0.723219,0.380174,0.680976,0.465295,0.124144,0.076107,0.199973,0.345726,Bot
0.05445,0.493698,0.483068,0.504839,0.50956,0.218482,0.0696,0.1744,0.476954,Bot
0.437805,0.479344,0.332223,0.490598,0.489611,0.051652,0.09333,0.08499,0.55801,Bot
0.209312,0.537985,0.144006,0.56202,0.460762,0.171302,0.322785,0.152595,0.530484,Bot
0.105885,0.579455,0.261768,0.590091,0.459192,0.370632,0.155366,0.10635,0.51604,Bot
0.145519,0.403053,0.465272,0.428603,0.553872,0.107614,0.040026,0.241569,0.463238,Bot
0.02731,0.566439,0.235225,0.461219,0.450278,0.231775,0.08795,0.41774,0.502367,Bot
0.23771,0.55156,0.238068,0.435452,0.515645,0.18353,0.052935,0.287757,0.407712,Bot
0.34083,0.470862,0.246412,0.488371,0.543989,0.160237,0.083653,0.168868,0.276818,Bot
0.716404,0.558647,0.122272,0.478598,0.555799,0.019371,0.080724,0.061228,0.434022,Bot
0.023905,0.683402,0.515926,0.679055,0.456169,0.286782,0.011143,0.162244,0.414658,Bot
0.038973,0.470312,0.495543,0.515785,0.505473,0.219353,0.028746,0.217385,0.497406,Bot
0.042054,0.526407,0.420173,0.503033,0.460503,0.410859,0.031382,0.095533,0.558145,Bot
0.157174,0.510878,0.260137,0.536315,0.540061,0.159182,0.062652,0.360854,0.505345,Bot
0.378495,0.516031,0.092257,0.54224,0.493164,0.12739,0.289481,0.112377,0.498215,Bot
0.037728,0.585021,0.351012,0.694946,0.491406,0.284512,0.096368,0.230379,0.398294,Bot
0.022574,0.470125,0.424042,0.469718,0.503746,0.331614,0.003282,0.218488,0.501032,Bot
0.032823,0.627792,0.525886,0.714576,0.515598,0.301726,0.040856,0.09871,0.476495,Bot
0.070828,0.640137,0.460507,0.518323,0.440562,0.302609,0.020175,0.145881,0.529619,Bot
0.002997,0.503924,0.068138,0.467804,0.494106,0.907511,0.000988,0.020366,0.474584,Bot
0.685473,0.535718,0.09181,0.474734,0.386236,0.021829,0.125424,0.075464,0.486977,Bot
0.086406,0.549316,0.140529,0.504688,0.469146,0.026028,0.034444,0.712593,0.46567,Bot
0.201453,0.469863,0.150095,0.48617,0.499774,0.148592,0.280323,0.219536,0.518879,Bot
0.143978,0.541473,0.204898,0.475355,0.509507,0.1889,0.136052,0.326172,0.418896,Bot
0.014799,0.445248,0.468001,0.453695,0.518213,0.363299,0.006035,0.147866,0.511744,Bot
0.02973,0.615307,0.046427,0.56933,0.481402,0.038424,0.01454,0.870879,0.483155,Bot
0.12563,0.501117,0.401668,0.485049,0.484447,0.075253,0.222938,0.174512,0.44631,Bot
0.182301,0.553188,0.154217,0.588442,0.448826,0.170082,0.298054,0.195347,0.521442,Bot
0.329606,0.538641,0.092673,0.603962,0.593176,0.074907,0.324683,0.17813,0.304944,Bot
0.068088,0.504459,0.122535,0.43798,0.44887,0.300698,0.053313,0.455365,0.484218,Bot
0.092611,0.525253,0.400333,0.694414,0.475477,0.188247,0.010474,0.308334,0.479018,Bot
0.051398,0.485021,0.333009,0.401352,0.477728,0.193048,0.018616,0.40393,0.55344,Bot
0.243816,0.447177,0.288948,0.361987,0.49803,0.203555,0.064625,0.199055,0.600893,Bot
0.011407,0.515958,0.712387,0.504295,0.425694,0.09411,0.006534,0.175563,0.543468,Bot
0.023829,0.527343,0.489597,0.474825,0.462528,0.354848,0.036867,0.094859,0.509451,Bot
0.00879,0.679818,0.270497,0.647581,0.433539,0.611857,0.015732,0.093125,0.454787,Bot
0.21475,0.541433,0.397874,0.570674,0.460012,0.095985,0.182037,0.109354,0.489967,Bot
0.188211,0.499277,0.155995,0.491073,0.470269,0.116073,0.362454,0.177267,0.550465,Bot
0.22546,0.603174,0.271513,0.629844,0.469632,0.10317,0.054319,0.345539,0.411366,Bot
0.089532,0.44083,0.530663,0.484221,0.428265,0.298115,0.020024,0.061665,0.58257,Bot
0.112161,0.489912,0.376528,0.378701,0.533732,0.24361,0.115234,0.152467,0.396877,Bot
0.103255,0.511996,0.278912,0.434758,0.453172,0.100013,0.425162,0.092659,0.556093,Bot
0.101766,0.670693,0.295682,0.68705,0.443599,0.179257,0.313803,0.109492,0.442195,Bot
0.044602,0.434349,0.414486,0.419327,0.472771,0.351793,0.012889,0.176231,0.665978,Bot
0.134933,0.463103,0.578658,0.514219,0.518021,0.190584,0.022703,0.073122,0.506901,Bot
0.085753,0.646505,0.43979,0.580175,0.426439,0.252413,0.019191,0.202854,0.499562,Bot
0.15868,0.686269,0.226845,0.670178,0.419349,0.080074,0.158738,0.375663,0.498326,Bot
0.062524,0.528374,0.294017,0.489747,0.528127,0.03563,0.596441,0.011387,0.506886,Bot
0.241296,0.445658,0.215947,0.40766,0.496773,0.190697,0.206155,0.145906,0.683,Bot
0.123559,0.382045,0.291972,0.360597,0.531159,0.225771,0.055803,0.302895,0.605949,Bot
0.100887,0.494786,0.185071,0.494554,0.596292,0.237273,0.063043,0.413725,0.444448,Bot
0.209689,0.481997,0.12553,0.499211,0.479122,0.118606,0.37933,0.166845,0.574803,Bot
0.623593,0.270751,0.087501,0.413267,0.570866,0.110882,0.07638,0.101643,0.519084,Bot
0.134328,0.552624,0.163975,0.710714,0.462713,0.112021,0.30752,0.282156,0.478125,Bot
0.024172,0.61633,0.123495,0.645708,0.438328,0.056938,0.200651,0.594744,0.445543,Bot
0.182745,0.412632,0.347888,0.469207,0.519496,0.213334,0.178844,0.077189,0.608481,Bot
0.213282,0.525618,0.31976,0.528128,0.449156,0.273698,0.019843,0.173417,0.728603,Bot
0.127472,0.556365,0.18019,0.573997,0.406764,0.171698,0.372752,0.147888,0.53432,Bot
0.029903,0.328765,0.24931,0.4008,0.494383,0.080686,0.003822,0.636279,0.597424,Bot
0.226234,0.546287,0.15096,0.541951,0.455568,0.100017,0.355236,0.167554,0.518088,Bot
0.320032,0.524277,0.395425,0.561535,0.420755,0.132348,0.060048,0.092147,0.595939,Bot
0.066954,0.488032,0.203148,0.407322,0.467171,0.304919,0.13075,0.294228,0.676334,Bot
0.112161,0.489912,0.376528,0.378701,0.533732,0.24361,0.115234,0.152467,0.396877,Bot
0.08781,0.462954,0.235701,0.423313,0.500543,0.240082,0.017587,0.41882,0.608451,Bot
0.135466,0.541564,0.469535,0.551145,0.506773,0.198138,0.03479,0.162071,0.483745,Bot
0.198085,0.694387,0.176774,0.540708,0.487868,0.158335,0.243171,0.223635,0.441808,Bot
0.098937,0.507112,0.272231,0.495879,0.492991,0.082377,0.316441,0.230014,0.523943,Bot
0.06329,0.554003,0.336956,0.427014,0.46791,0.340194,0.119807,0.139753,0.484602,Bot
0.012789,0.46311,0.180585,0.49549,0.502331,0.752971,0.013105,0.04055,0.473019,Bot
0.030723,0.580216,0.167281,0.597867,0.44288,0.691366,0.017531,0.093098,0.515858,Bot
0.11357,0.737415,0.4928,0.572795,0.454548,0.122701,0.099786,0.171143,0.363057,Bot
0.360924,0.560337,0.22898,0.620893,0.39319,0.134934,0.192811,0.082352,0.647734,Bot
0.05108,0.575405,0.179679,0.537355,0.438083,0.174906,0.080952,0.513383,0.663721,Bot
0.20228,0.469863,0.136187,0.48617,0.499774,0.123539,0.343078,0.194916,0.518879,Bot
0.210118,0.68864,0.387801,0.667756,0.403342,0.244019,0.035916,0.122146,0.477263,Bot
0.145119,0.583823,0.191777,0.504926,0.486017,0.051293,0.176726,0.435085,0.279178,Bot
0.038074,0.62032,0.130795,0.706369,0.501667,0.067087,0.046968,0.717077,0.350898,Bot
0.030794,0.575912,0.144618,0.530243,0.433386,0.769785,0.027218,0.027586,0.463098,Bot
0.214697,0.47711,0.141542,0.435012,0.440678,0.125297,0.332317,0.186146,0.551646,Bot
0.071147,0.564731,0.319046,0.595789,0.444177,0.291059,0.013076,0.305673,0.517055,Bot
0.165451,0.483285,0.167842,0.497148,0.496014,0.164018,0.237863,0.264826,0.468749,Bot
0.101342,0.545477,0.291249,0.471229,0.477477,0.19404,0.275836,0.137534,0.493615,Bot
0.205717,0.46842,0.132706,0.516501,0.481017,0.12413,0.384364,0.153084,0.568225,Bot
0.138799,0.591439,0.231969,0.5479,0.475156,0.498329,0.029146,0.101757,0.477696,Bot
0.136016,0.453985,0.444132,0.612901,0.483734,0.269609,0.06599,0.084254,0.516676,Bot
0.02075,0.623473,0.445256,0.628823,0.453002,0.034023,0.427808,0.072163,0.474099,Bot
0.068567,0.562156,0.260716,0.44251,0.415605,0.074996,0.516142,0.079579,0.618003,Bot
0.306038,0.625089,0.283577,0.598155,0.435672,0.155693,0.111067,0.143625,0.479276,Bot
0.584103,0.586196,0.245542,0.541672,0.511506,0.040893,0.050446,0.079016,0.469016,Bot
0.095068,0.5394,0.265986,0.553467,0.459961,0.046098,0.03969,0.553159,0.535795,Bot
0.482183,0.555831,0.113914,0.5022,0.425365,0.099597,0.172924,0.131382,0.649307,Bot
0.34595,0.520231,0.20587,0.519978,0.484353,0.254297,0.143309,0.050573,0.482879,Bot
0.178546,0.469863,0.1648,0.48617,0.499774,0.140166,0.237179,0.279309,0.518879,Bot
0.226167,0.458883,0.112487,0.565628,0.502266,0.132663,0.341542,0.187142,0.501003,Bot
0.484808,0.502777,0.106885,0.535586,0.529134,0.062516,0.214803,0.130988,0.43792,Bot
0.02662,0.58086,0.481525,0.605101,0.468573,0.331659,0.104847,0.05535,0.493976,Bot
0.015727,0.58248,0.68479,0.521194,0.443946,0.182797,0.094076,0.02261,0.524231,Bot
0.138376,0.56284,0.384979,0.588775,0.384523,0.113613,0.277829,0.085203,0.65865,Bot
